rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,magnetic_field,x,y,z,magnetic_field_covariance
1402603750393277011,,36,,1402603750,392842780,fcu,,-1.74517691135e-05,1.19379386306e-05,4.54721480608e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603751458593956,,37,,1402603751,458256341,fcu,,-1.76352456212e-05,1.01070217788e-05,4.39589679241e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603754390927941,,38,,1402603754,390424403,fcu,,-2.04791232944e-05,-1.49432465434e-05,4.31578755379e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603755462141719,,39,,1402603755,461813671,fcu,,-2.13047668338e-05,-8.78470912576e-06,4.52941298485e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603758400220053,,40,,1402603758,399877339,fcu,,-2.11212918162e-05,-8.11892151833e-06,4.28908407688e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603759377583243,,41,,1402603759,377297195,fcu,,-1.99286967516e-05,-8.78470912576e-06,4.42259997129e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603763385234666,,42,,1402603763,384811767,fcu,,-2.66255736351e-05,-2.40146055818e-05,3.2743626833e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603764450434489,,43,,1402603764,450126738,fcu,,-2.43321239948e-05,-1.32787778974e-05,4.15556818247e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603767387754214,,44,,1402603767,387358480,fcu,,-2.23138853908e-05,-4.20741736889e-06,4.39589679241e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603768454157812,,45,,1402603768,453740443,fcu,,-2.05708622932e-05,-8.78478214145e-07,4.27128195763e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603771390590593,,46,,1402603771,389815319,fcu,,-2.24056243896e-05,1.70144978911e-06,4.25347983837e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603775401701462,,47,,1402603775,401255340,fcu,,-1.94700077176e-05,-1.05324022472e-05,4.17337030172e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603776465953914,,48,,1402603776,464778462,fcu,,-1.78187221289e-05,-1.12814884633e-06,4.25347983837e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603779405173138,,49,,1402603779,404771615,fcu,,-1.69930800796e-05,9.10833999515e-06,4.43150103092e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603780378505617,,50,,1402603780,378218108,fcu,,-1.57087489963e-05,1.30198433995e-05,4.22677665949e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603781448111943,,51,,1402603781,447651566,fcu,,-1.29566058517e-05,9.27478671074e-06,4.14666712284e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603784386935087,,52,,1402603784,386584766,fcu,,-1.18557490408e-05,1.38520792127e-05,4.12886500359e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
