rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,len,seq,sysid,compid,msgid,fromlcm,payload64
1402603674054769829,,11674,,0,0,'',32,0,1,45,104,False,"[1402603674054527, 13772225414250279487L, 13515291908553817096L, 4502740838918944669]"
1402603674062722920,,11675,,0,0,'',32,0,1,45,104,False,"[1402603674062528, 13772220444973126827L, 13459779842800145395L, 4502901891604976554]"
1402603674071746126,,11676,,0,0,'',32,0,1,45,104,False,"[1402603674071502, 13772220402023457345L, 13480808835905022135L, 4502640448351939010]"
1402603674080719236,,11677,,0,0,'',32,0,1,45,104,False,"[1402603674080499, 13772207856423969003L, 13524760176842769429L, 4502462065478802229]"
1402603674088733232,,11678,,0,0,'',32,0,1,45,104,False,"[1402603674088439, 13772246377985639052L, 13554913879507539105L, 4502172275444452572]"
1402603674097761169,,11679,,0,0,'',32,0,1,45,104,False,"[1402603674097487, 13772228996253001805L, 13530413028114119584L, 4502916984117575713]"
1402603674104826504,,11680,,0,0,'',32,0,1,45,104,False,"[1402603674104484, 13772224701285710787L, 13483103740010406553L, 4502770676056585274]"
1402603674112968793,,11681,,0,0,'',32,0,1,45,104,False,"[1402603674112506, 13772219177957771319L, 13447417561122637888L, 4502936517629959637]"
1402603674121752106,,11682,,0,0,'',32,0,1,45,104,False,"[1402603674121502, 13772225693423160073L, 13513902164511013114L, 4502417913210404574]"
1402603674129753620,,11683,,0,0,'',32,0,1,45,104,False,"[1402603674129510, 13772234536760812274L, 13544015850965494198L, 4502435114554929507]"
1402603674138779920,,11684,,0,0,'',32,0,1,45,104,False,"[1402603674138473, 13772235902560411439L, 13538517365113748269L, 4502668301214403326]"
1402603674146762437,,11685,,0,0,'',32,0,1,45,104,False,"[1402603674146501, 13772226118624914196L, 13512512957339160354L, 4502842981831054227]"
1402603674154738046,,11686,,0,0,'',32,0,1,45,104,False,"[1402603674154512, 13772219564504830856L, 13453437262730666135L, 4502944708133297608]"
1402603674162765609,,11687,,0,0,'',32,0,1,45,104,False,"[1402603674162493, 13772220182980116623L, 13482671546041380131L, 4502909455041887859]"
1402603674171736590,,11688,,0,0,'',32,0,1,45,104,False,"[1402603674171484, 13772224958983751073L, 13529367521405159811L, 4502197061695074922]"
1402603674180715266,,11689,,0,0,'',32,0,1,45,104,False,"[1402603674180492, 13772274381172399681L, 13563700145644526399L, 4501974483613250974]"
1402603674188778764,,11690,,0,0,'',32,0,1,45,104,False,"[1402603674188530, 13772233304105199298L, 13528012128510745820L, 4502809927764160067]"
1402603674196775386,,11691,,0,0,'',32,0,1,45,104,False,"[1402603674196525, 13772218374798885181L, 13487236117024455971L, 4502915081449317580]"
1402603674204822463,,11692,,0,0,'',32,0,1,45,104,False,"[1402603674204525, 13772218035496472047L, 13461452487748779246L, 4502937299315122030]"
1402603674212788767,,11693,,0,0,'',32,0,1,45,104,False,"[1402603674212518, 13772222171549972294L, 13517594908672656257L, 4502656855130100638]"
1402603674223742768,,11694,,0,0,'',32,0,1,45,104,False,"[1402603674223505, 13772231229635988307L, 13546535613788788184L, 4502790583234068811]"
1402603674229778896,,11695,,0,0,'',32,0,1,45,104,False,"[1402603674229481, 13772237921195040437L, 13540416608241920519L, 4502512187744518394]"
1402603674238759987,,11696,,0,0,'',32,0,1,45,104,False,"[1402603674238509, 13772225568869100515L, 13508288040959756215L, 4502674327055650166]"
1402603674246739668,,11697,,0,0,'',32,0,1,45,104,False,"[1402603674246496, 13772222768550430621L, 13458453999280726973L, 4502988345000861702]"
1402603674255742779,,11698,,0,0,'',32,0,1,45,104,False,"[1402603674255501, 13772217657539347112L, 13486080156641567519L, 4502686017955342742]"
1402603674263721398,,11699,,0,0,'',32,0,1,45,104,False,"[1402603674263500, 13772228180209216353L, 13529597010097740741L, 4502313648584530789]"
1402603674271770920,,11700,,0,0,'',32,0,1,45,104,False,"[1402603674271510, 13772237972734649706L, 13542207034078789687L, 4502550511733736475]"
1402603674279725130,,11701,,0,0,'',32,0,1,45,104,False,"[1402603674279524, 13772273500704116468L, 13550085404259000319L, 4503048663523690438]"
1402603674287770563,,11702,,0,0,'',32,0,1,45,104,False,"[1402603674287520, 13772227454359746611L, 13475198676608475346L, 4502619007878292394]"
1402603674295821275,,11703,,0,0,'',32,0,1,45,104,False,"[1402603674295521, 13772215540120473352L, 13462960167298544201L, 4502911911762360885]"
1402603674304802727,,11704,,0,0,'',32,0,1,45,104,False,"[1402603674304518, 13772223481514997556L, 13515598311520746581L, 4502541496601795034]"
1402603674312771173,,11705,,0,0,'',32,0,1,45,104,False,"[1402603674312516, 13772204639493472127L, 13522509678404134841L, 4502609808054706812]"
1402603674321781764,,11706,,0,0,'',32,0,1,45,104,False,"[1402603674321516, 13772234352077221211L, 13540007439592543139L, 4502829955195084382]"
1402603674329763994,,11707,,0,0,'',32,0,1,45,104,False,"[1402603674329502, 13772218821475483336L, 13491077557248866086L, 4502713213690111255]"
1402603674339800648,,11708,,0,0,'',32,0,1,45,104,False,"[1402603674339538, 13772223163687425455L, 13415503578996474891L, 4502913324804015924]"
1402603674346781615,,11709,,0,0,'',32,0,1,45,104,False,"[1402603674346516, 13772223408500552981L, 13480624684887200365L, 4502607613327785241]"
1402603674355738655,,11710,,0,0,'',32,0,1,45,104,False,"[1402603674355518, 13772231487334034548L, 13530945655598428795L, 4502346436365264951]"
1402603674362730854,,11711,,0,0,'',32,0,1,45,104,False,"[1402603674362507, 13772241984234104828L, 13543401674937153652L, 4502348390573302805]"
