TIME_StartTime,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ,IMU_MagX,IMU_MagY,IMU_MagZ,LPOS_X,LPOS_Y,LPOS_Z,LPOS_VX,LPOS_VY,LPOS_VZ,LPOS_RefLat,LPOS_RefLon,LPOS_RefAlt,LPOS_XYFlags,LPOS_ZFlags,LPOS_Landed,RC_Ch0,RC_Ch1,RC_Ch2,RC_Ch3,RC_Ch4,RC_Ch5,RC_Ch6,RC_Ch7,RC_Count,ATT_Roll,ATT_Pitch,ATT_Yaw,ATT_RollRate,ATT_PitchRate,ATT_YawRate,ATT_GX,ATT_GY,ATT_GZ
118725235,0.990967750549,0.617517709732,-10.0930519104,0.022926568985,0.0446488261223,-0.0232648923993,-0.130483448505,0.1584944278,0.489435642958,0.765814900398,-0.473811119795,-1.69404041767,0.178923353553,0.0935575067997,-0.577520549297,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0025641026441,0.736040592194,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.00139595428482,0.00703334109858,-2.27680706978,0.0136969080195,0.041232932359,-0.0185360312462,0.990967750549,0.617517709732,-10.0930519104
118746281,0.905607640743,0.292916923761,-10.0443048477,-0.00165502226446,0.0115015329793,0.020294226706,-0.142409384251,0.157662183046,0.494776308537,0.770282685757,-0.471434116364,-1.70649373531,0.166795894504,0.106511391699,-0.576422035694,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0025641026441,0.736040592194,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.00145969633013,0.00761633692309,-2.27707386017,-0.000768422323745,0.0251326542348,-0.00537658203393,0.905607640743,0.292916923761,-10.0443048477
118767338,0.372963041067,-0.163894683123,-9.59913158417,-0.0252832956612,-0.00346424174495,0.0395542196929,-0.131400838494,0.156829938293,0.49833676219,0.774191975594,-0.468721479177,-1.7239792347,0.165383562446,0.11901409179,-0.577844917774,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0025641026441,0.732233524323,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.00165990530513,0.00781469605863,-2.27649211884,-0.013644978404,0.0041405656375,0.0042904317379,0.372963041067,-0.163894683123,-9.59913158417
118789797,-0.459630966187,-0.224113494158,-9.32473087311,-0.0223242007196,0.00457450374961,-0.034208856523,-0.134152948856,0.162655591965,0.516138851643,0.777585089207,-0.465586930513,-1.73653078079,0.122860096395,0.137826323509,-0.5757163167,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0025641026441,0.729695439339,0.0173267330974,-0.99816006422,0.93483710289,0.0,1.361144426e+14,7,-0.0020940003451,0.00772325973958,-2.2762928009,-0.0250272769481,-0.00287983985618,-0.00781930424273,-0.459630966187,-0.224113494158,-9.32473087311
118810276,-0.101160123944,0.022040784359,-9.4812297821,-0.0117852622643,-0.00505732093006,-0.0436064973474,-0.154335334897,0.1584944278,0.491215854883,0.779135346413,-0.46393173933,-1.7432320118,0.141122072935,0.133447721601,-0.574314057827,0.0,0.0,0.0,3,3,1,0.0935960561037,0.0025641026441,0.729695439339,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.00238363002427,0.00770745193586,-2.27662134171,-0.0190677531064,-0.00258553121239,-0.0118330372497,-0.101160123944,0.022040784359,-9.4812297821
118831542,0.0585629232228,0.187643423676,-9.868724823,0.0237282924354,0.00498646171764,-0.0400247946382,-0.132318213582,0.162655591965,0.509908139706,0.782746851444,-0.46076208353,-1.75726664066,0.154129981995,0.141552135348,-0.570532739162,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0025641026441,0.729695439339,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.00243365135975,0.00769370188937,-2.27631545067,0.00441330531612,0.00283561949618,-0.0163771770895,0.0585629232228,0.187643423676,-9.868724823
118853566,0.00370557047427,-0.0765945762396,-9.57454586029,0.00976991932839,0.0163612347096,0.0281918589026,-0.131400838494,0.165984541178,0.495666414499,0.786317706108,-0.457347452641,-1.7709634304,0.148219227791,0.147886797786,-0.565458238125,0.0,0.0,0.0,3,3,1,0.0985221639276,0.0025641026441,0.729695439339,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.0021750673186,0.00790712051094,-2.27578139305,0.0143367126584,0.0104018766433,-0.000814640894532,0.00370557047427,-0.0765945762396,-9.57454586029
118874820,-0.154735386372,-0.18461805582,-9.22317028046,-0.0111786555499,0.00649230508134,0.0310721360147,-0.145161524415,0.159326657653,0.510798215866,0.789879202843,-0.45372402668,-1.78794324398,0.144446179271,0.161489859223,-0.56193703413,0.0,0.0,0.0,3,3,1,0.0985221639276,0.0051282052882,0.729695439339,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.00204977765679,0.00797828100622,-2.27654218674,0.0045432667248,0.00412448635325,0.00723449792713,-0.154735386372,-0.18461805582,-9.22317028046
118896049,0.0602575466037,-0.0962597951293,-8.97367286682,-0.0192800238729,0.00434280186892,0.0195147320628,-0.129566058517,0.162655591965,0.500116884708,0.791497647762,-0.451810330153,-1.79336082935,0.116169475019,0.154919832945,-0.558340549469,0.0,0.0,0.0,3,3,1,0.0985221639276,0.0051282052882,0.729695439339,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.00222539971583,0.00788931362331,-2.27672886848,-0.0126171587035,-0.000886807742063,0.00594107015058,0.0602575466037,-0.0962597951293,-8.97367286682
118917811,0.457324683666,-0.118604108691,-9.72811508179,0.00274914689362,-0.0273288022727,-0.0285983122885,-0.132318213582,0.160991117358,0.49833676219,0.794239282608,-0.447588205338,-1.80701172352,0.113636001945,0.18698322773,-0.55286949873,0.0,0.0,0.0,3,3,1,0.0960591137409,0.0025641026441,0.729695439339,0.0173267330974,-1.0,0.937343358994,0.0,1.361144426e+14,7,-0.00233299518004,0.00767189078033,-2.27589225769,-0.00532024214044,-0.0134692750871,-0.00370217300951,0.457324683666,-0.118604108691,-9.72811508179
